TEMPLATE_ID,SUBJECT_ID,AGE,SKIN_COLOUR,GENDER,HEAD_POSE,SOURCE,GLASSES,BOUNDING_BOX_SIZE
71255,14021,1,0,0,1,1,0,1
151473,31093,0,1,0,1,0,0,1
43410,11849,0,0,1,0,1,0,0
108823,27970,0,0,1,1,1,0,1
71048,14005,0,0,1,0,0,0,1
39066,3507,1,0,0,0,0,1,0
103156,27802,1,0,0,1,1,0,1
71828,14056,1,0,0,1,1,0,1
53888,12842,0,0,1,0,0,0,1
108935,27972,1,0,1,0,0,1,1
32189,2460,1,0,0,0,1,1,1
31702,2421,1,0,0,1,1,0,1
158766,32563,1,0,0,1,0,0,1
4804,127,2,0,0,1,1,1,1
139941,28910,1,0,0,1,0,0,0
109313,27986,1,0,0,1,1,0,1
4378,102,1,1,0,0,1,0,1
132237,28702,1,0,1,1,1,0,1
43639,11917,1,0,1,1,1,1,1
72414,14092,2,0,0,1,1,1,1
69291,13892,1,0,1,1,1,0,1
62378,13331,1,0,0,1,1,1,1
102722,27793,1,1,0,0,1,0,1
129875,28628,0,1,1,1,1,0,1
47603,12571,1,1,0,0,1,0,1
60794,13255,0,1,0,1,0,0,1
109456,27991,1,0,0,1,1,0,1
123712,28428,1,0,0,1,1,1,1
73135,14148,0,0,1,1,1,0,1
52923,12781,1,1,1,0,1,0,1
7805,304,1,0,0,0,1,1,1
6170,179,1,0,0,1,0,0,0
44397,12053,1,1,0,1,1,0,1
108954,27973,1,0,1,0,1,0,1
150945,30984,1,0,1,0,0,0,1
124707,28465,1,1,0,1,1,0,1
1504,36,0,0,0,1,1,0,1
90661,27447,2,0,1,1,1,0,1
29276,2079,1,0,0,1,0,0,0
100440,27731,1,0,0,1,1,0,1
77073,27067,1,0,1,1,1,0,1
7513,304,1,0,0,1,1,1,1
62385,13331,1,0,0,1,1,1,1
140646,28934,0,0,1,1,1,0,0
149758,30743,1,0,1,1,0,1,1
27315,1825,1,0,0,1,1,0,1
97273,27646,1,0,0,1,1,0,1
76732,27059,1,0,0,1,1,1,1
30881,2371,1,0,0,1,1,0,1
2493,68,1,0,0,1,1,0,1
117888,28258,1,1,0,1,1,0,1
114678,28164,1,0,1,0,0,0,0
5009,136,2,0,0,1,1,1,1
133403,28732,2,0,0,1,1,0,1
124387,28450,2,0,0,0,1,0,1
55308,12929,0,0,0,1,1,0,1
113343,28119,1,0,0,1,0,1,0
37304,2933,2,0,0,1,1,0,0
113819,28140,0,0,1,0,0,0,1
57464,13067,0,0,1,1,0,0,1
38729,3379,1,0,1,1,1,0,1
116809,28221,1,1,0,1,1,1,1
36936,2846,1,0,0,1,1,0,1
137194,28839,1,0,0,1,1,1,1
106587,27900,1,0,1,0,0,0,0
13581,565,1,0,0,1,1,1,0
127888,28560,1,0,1,0,1,1,0
17948,966,0,0,0,0,0,0,1
101504,27764,1,0,1,1,0,0,1
121387,28363,1,0,0,1,0,0,1
45649,12446,1,1,0,0,1,0,1
130682,28650,1,1,1,1,0,0,1
106981,27909,1,0,0,1,1,1,1
57501,13068,1,1,0,1,1,1,0
32348,2460,2,0,0,1,1,1,1
81068,27180,0,0,1,1,1,0,1
115313,28182,0,0,1,0,1,0,1
155345,31877,1,1,0,1,0,1,1
37498,2951,1,0,0,1,1,1,1
158481,13199,1,0,1,0,0,1,1
65242,13452,0,0,0,0,1,0,0
80471,27164,1,0,1,0,1,0,1
139232,28892,1,1,0,0,1,0,1
50101,12646,0,1,0,0,1,0,1
1950,51,2,1,0,1,1,1,1
30148,2282,2,0,0,1,1,1,1
1970,51,2,1,0,0,1,1,1
111410,28062,1,0,1,0,1,0,0
132548,28712,1,1,1,0,1,0,1
87255,27356,1,0,0,1,1,0,1
92819,27504,2,0,0,1,1,1,1
112202,28090,2,0,0,0,0,0,1
120186,28326,1,0,1,1,1,0,1
80289,27160,1,0,0,1,1,0,1
158761,32561,0,0,1,1,0,0,1
1175,24,1,0,0,0,1,1,1
86662,27341,1,0,1,0,0,0,0
52779,12772,1,0,0,0,1,1,1
75994,27045,1,0,1,1,1,0,1
100713,27740,1,0,0,1,1,0,1
143084,29405,0,0,1,0,0,0,1
26062,1820,1,0,0,1,1,0,1
120553,28340,1,0,0,1,1,0,0
131970,28693,1,0,0,1,0,0,1
112627,28100,1,0,0,0,1,0,0
115079,28178,1,0,0,1,1,1,1
38774,3379,1,0,1,1,1,0,1
32813,2465,0,0,1,0,1,0,1
4346,99,1,0,0,1,1,0,1
115438,28185,0,0,1,1,0,0,0
55028,12909,1,0,0,1,0,0,1
6839,259,1,0,0,0,0,0,1
5876,162,2,0,0,0,1,0,1
124587,28460,1,0,0,0,1,1,1
105758,27874,0,0,1,1,1,0,1
31857,2436,1,0,0,1,1,0,1
111928,28079,2,0,0,1,1,1,1
147444,30275,0,0,1,0,0,0,1
116843,28223,1,1,1,1,1,0,1
142439,29274,0,0,1,0,0,0,1
114424,28158,0,0,1,1,0,0,0
46295,12486,1,1,1,1,1,0,1
15790,743,1,0,0,1,1,1,1
77928,27091,1,0,1,1,1,0,1
106911,27907,0,0,1,1,1,1,1
8164,304,1,0,0,1,1,1,1
102687,27792,0,0,0,1,0,0,0
149847,30761,0,1,1,0,0,0,1
88214,27382,0,0,1,0,0,0,1
155487,31902,0,1,0,0,0,0,1
76685,27058,1,0,0,1,1,1,1
37739,3102,1,0,0,0,0,0,0
99389,27704,0,1,1,0,1,0,1
106498,27899,0,0,1,1,1,0,1
116214,28205,1,0,0,0,1,1,0
91308,27466,1,0,0,1,0,0,1
81126,27181,1,0,0,1,1,0,1
16315,768,2,0,0,1,1,1,1
81264,27186,1,0,0,1,1,0,0
51632,12730,1,0,0,1,1,0,1
73439,26972,1,0,0,0,1,1,1
93350,27518,1,0,1,1,1,0,1
152920,31394,1,0,1,0,0,0,1
8456,319,1,0,0,1,1,0,1
143961,29580,0,1,0,0,0,0,1
75076,27015,1,0,0,1,1,0,1
85588,27314,1,0,1,0,1,0,1
8582,323,1,0,0,1,1,1,1
47853,12578,1,1,0,1,1,0,1
26618,1825,1,0,0,1,1,0,1
4539,111,1,0,0,1,1,0,0
97001,27639,1,0,0,1,1,1,1
47129,12542,1,0,1,0,1,0,1
11968,468,1,0,0,1,1,1,1
125618,28496,1,0,0,0,1,1,1
145306,29851,0,0,1,0,0,0,1
67566,13627,0,0,1,1,1,0,1
35939,2571,1,0,1,1,1,0,1
116870,28223,1,1,1,0,1,0,1
67517,13622,1,0,1,1,1,0,0
8947,347,2,0,0,1,0,0,0
103363,27808,2,0,0,0,1,0,1
136010,28809,1,1,0,1,1,0,0
11894,466,1,1,0,0,0,0,1
133737,28745,1,0,1,0,1,0,1
92109,27484,1,0,0,1,1,0,1
130537,28646,1,0,0,1,1,0,1
84703,27278,1,0,0,0,1,1,1
39133,3528,1,0,0,1,0,1,0
51927,12744,0,0,1,1,1,0,1
62878,13347,1,0,0,1,1,1,0
48647,12618,1,0,1,1,1,0,1
168,4,1,0,1,0,1,0,1
142240,29236,1,0,0,1,0,0,1
7678,304,1,0,0,1,1,1,1
90615,27445,2,0,0,1,1,0,0
48110,12593,1,0,1,1,1,0,1
145984,29984,1,1,0,0,0,0,1
47777,12577,0,0,1,1,1,0,1
71820,14056,1,0,0,1,1,0,1
110041,28010,1,1,0,0,1,1,0
118692,28281,1,0,1,1,1,0,1
115423,28185,0,0,1,1,1,0,0
27928,1826,1,0,0,1,1,0,1
24684,1615,2,1,0,1,1,1,1
127456,28546,1,0,1,1,0,0,1
69420,13898,1,0,1,0,0,0,1
103542,27811,0,0,0,0,1,0,1
72110,14071,1,0,0,0,1,1,0
15906,743,1,0,0,1,1,1,1
63351,13374,0,0,1,1,1,0,1
84724,27279,1,0,1,1,1,0,1
8297,311,0,1,1,1,1,0,1
8295,311,0,1,1,1,1,0,1
96053,27600,1,1,0,1,1,1,1
49594,12632,0,0,1,1,0,0,1
5238,143,2,0,0,1,0,0,1
97728,27661,1,1,0,0,1,1,1
2687,68,1,0,0,1,1,0,1
90153,27432,1,0,0,0,1,0,0
87388,27359,0,0,1,0,1,0,1
57431,13061,1,0,1,1,1,0,1
27610,1825,1,0,0,1,1,0,1
60516,13242,1,0,0,1,1,0,1
138390,28865,1,0,0,1,1,0,1
136701,28827,0,0,1,1,1,0,1
107021,27909,1,0,0,1,0,1,0
46227,12483,0,0,1,0,1,0,1
105237,27859,1,0,1,0,1,0,1
11259,415,2,0,0,0,1,0,1
115286,28182,0,0,1,0,1,0,1
44846,12145,1,0,0,0,1,1,0
97421,27652,0,0,1,1,0,1,0
132717,28717,0,0,1,1,1,0,1
1491,31,2,1,0,0,1,0,1
111207,28051,1,1,0,0,0,0,0
26921,1825,1,0,0,1,1,0,1
34048,2477,1,0,0,1,1,0,1
50813,12699,1,0,1,0,1,0,1
4032,94,1,0,0,1,1,0,1
122036,28383,1,0,0,0,1,0,1
145617,29914,0,1,1,0,0,0,1
135671,28799,1,0,1,1,1,0,0
71517,14048,1,0,1,0,0,1,1
58152,13114,1,1,0,1,1,0,1
16386,776,1,0,0,0,0,0,1
103918,27822,1,0,0,1,1,0,1
62059,13320,1,0,1,1,1,0,1
140402,28924,1,0,1,1,0,0,0
52488,12765,0,0,1,0,1,0,0
16283,764,1,0,0,1,1,1,1
77059,27067,1,0,1,1,1,0,1
30963,2371,1,0,0,0,1,0,1
55235,12927,1,1,0,1,1,1,1
107429,27920,1,1,1,0,1,1,1
47067,12538,0,0,1,1,0,0,0
131297,28670,1,1,1,0,0,0,0
43530,11896,1,0,0,0,1,1,0
111136,28049,1,0,1,0,0,0,1
146697,30128,0,1,1,0,0,0,1
109024,27975,1,0,1,0,1,0,1
17378,887,2,0,0,1,1,1,1
93199,27514,1,0,0,1,1,1,1
130007,28632,0,0,0,1,1,0,1
72293,14085,0,0,0,1,1,0,1
128211,28569,1,1,1,1,1,0,1
58660,13146,0,0,1,0,1,0,1
137436,28843,1,0,1,1,1,0,1
14807,650,1,0,0,1,1,1,1
109341,27987,1,0,0,0,1,1,0
96456,27619,1,0,0,0,0,1,0
126213,28512,1,0,0,1,1,0,0
56770,13014,0,0,1,1,1,0,1
77926,27091,1,0,1,1,1,0,1
139209,28892,1,1,0,0,1,0,1
22360,1320,0,0,1,1,1,0,1
38925,3496,2,0,1,0,0,0,1
90044,27429,1,1,1,1,1,0,1
96781,27630,1,0,1,1,1,0,1
58322,13128,1,0,1,0,0,0,1
45376,12413,1,1,0,1,1,1,1
43358,11849,0,0,1,0,0,0,1
24727,1628,1,1,0,1,1,0,1
117873,28258,1,1,0,1,1,0,1
105572,27870,2,0,0,1,1,0,1
134035,28753,1,1,1,1,1,0,1
67596,13627,0,0,1,1,1,0,1
53495,12810,1,0,1,1,0,0,1
34932,2491,1,0,0,0,1,1,1
138604,28870,1,0,0,1,1,0,1
85954,27322,1,0,0,0,1,0,0
82636,27219,2,0,0,0,1,1,0
113784,28138,0,0,1,1,1,0,1
103411,27808,2,0,0,1,0,1,0
93222,27514,2,0,0,1,1,1,1
49549,12630,1,1,0,1,0,0,0
41174,9902,1,0,0,0,1,0,1
92720,27500,0,1,0,0,0,0,0
54044,12856,0,0,0,0,0,0,1
66031,13500,1,0,1,1,1,0,1
101347,27759,1,0,0,1,1,0,1
20501,1244,1,0,0,0,1,0,1
61118,13267,0,0,1,0,1,0,1
119163,28293,1,0,0,1,1,1,1
82528,27216,1,0,1,1,1,0,1
5159,142,1,0,0,1,1,1,1
40642,9825,1,1,1,1,1,0,0
124702,28465,1,1,0,1,1,0,1
150153,30826,0,1,0,0,0,0,1
20030,1244,1,0,0,0,1,0,1
6487,220,1,0,1,1,0,0,1
131209,28667,1,0,0,0,1,0,1
96076,27600,1,1,0,0,1,1,1
23062,1387,1,0,1,1,1,0,1
59960,13223,1,0,0,1,1,0,1
105336,27862,0,1,1,1,1,1,0
125607,28496,1,0,0,1,1,1,1
91063,27455,1,1,1,0,1,0,1
137989,28853,1,0,0,0,1,0,1
132047,28697,1,0,0,1,0,0,1
157999,32402,1,1,0,0,0,0,1
77183,27075,1,0,0,1,1,1,1
80715,27170,1,0,1,1,1,0,1
2550,68,1,0,0,0,1,0,1
44961,12233,0,0,1,0,0,0,1
151343,31069,0,0,1,1,0,0,1
94461,27550,1,0,0,1,1,1,1
138767,28880,1,0,0,1,1,0,0
81659,27196,1,0,1,1,1,0,0
37777,3116,1,0,1,0,1,0,1
153327,31475,1,1,0,0,0,0,1
136783,28829,1,1,0,1,1,1,0
157517,32304,1,0,1,0,0,0,1
62175,13328,1,1,1,1,1,0,1
143932,29574,0,1,1,0,0,1,1
96947,27637,0,0,1,0,1,0,0
31977,2436,1,0,0,1,1,0,1
109050,27976,0,0,1,0,1,0,1
63999,13411,0,1,1,0,1,0,1
49290,12626,1,0,1,0,1,0,1
121048,28353,1,1,1,1,1,0,1
46708,12498,1,1,0,0,1,0,1
25809,1768,1,1,0,0,1,0,1
1184,24,1,0,0,1,1,1,1
17228,841,1,1,0,1,1,1,1
50868,12701,0,0,1,0,1,0,1
31019,2371,1,0,0,1,1,0,1
26128,1825,1,0,0,1,1,0,1
32203,2460,2,0,0,0,1,1,1
120074,28323,1,0,0,1,1,0,1
84225,27264,1,0,0,1,1,0,1
140636,28933,1,0,1,1,0,0,0
41766,9994,1,1,1,1,0,0,1
49073,12623,1,0,0,1,1,0,1
49083,12623,1,0,0,1,1,0,1
79154,27128,1,0,0,0,1,0,1
74321,26996,0,1,1,1,1,0,1
83259,27236,1,1,0,0,1,0,1
48325,12602,0,1,1,1,1,0,1
101897,27774,2,0,0,0,1,1,1
140627,28933,1,0,1,1,1,0,1
71926,14062,1,0,1,1,1,0,1
99983,27721,2,0,0,0,1,0,1
67652,13632,1,0,0,0,1,0,1
24784,1646,1,0,1,0,1,0,1
27530,1825,1,0,0,1,1,0,1
137995,28853,1,0,0,0,1,0,1
66877,13571,0,0,1,1,1,0,0
48682,12618,1,0,1,1,1,0,1
20682,1244,1,0,0,0,1,0,1
73817,26986,0,0,1,1,1,0,1
